epoch,class_img_outputs_accuracy,class_img_outputs_loss,class_summed_outputs_accuracy,class_summed_outputs_loss,loss,lr,val_class_img_outputs_accuracy,val_class_img_outputs_loss,val_class_summed_outputs_accuracy,val_class_summed_outputs_loss,val_loss
0,0.9043958187103271,0.3163667917251587,0.8801666498184204,0.683501124382019,0.9998668432235718,0.001,0.9835833311080933,0.05535515397787094,0.9835833311080933,0.21605221927165985,0.2714073359966278
1,0.9750833511352539,0.08402800559997559,0.9750833511352539,0.19284692406654358,0.2768747806549072,0.001,0.9865000247955322,0.04937586933374405,0.9865000247955322,0.10848019272089005,0.1578560620546341
2,0.9812291860580444,0.062422994524240494,0.9812291860580444,0.1480405330657959,0.21046343445777893,0.001,0.9856666922569275,0.04914475977420807,0.9856666922569275,0.11219612509012222,0.1613408476114273
3,0.9834791421890259,0.054256994277238846,0.9834791421890259,0.12966158986091614,0.1839185655117035,0.001,0.987666666507721,0.041782695800065994,0.987666666507721,0.09692873805761337,0.13871143758296967
4,0.9860416650772095,0.046745624393224716,0.9860416650772095,0.11111480742692947,0.15786035358905792,0.001,0.9877499938011169,0.04148824140429497,0.9877499938011169,0.1016354188323021,0.14312365651130676
5,0.9881458282470703,0.040211886167526245,0.9881458282470703,0.09661848098039627,0.1368303894996643,0.001,0.9892500042915344,0.038357146084308624,0.9892500042915344,0.0880788043141365,0.12643595039844513
6,0.9873541593551636,0.03929772600531578,0.987291693687439,0.10251820832490921,0.14181597530841827,0.001,0.9910833239555359,0.030512351542711258,0.9910833239555359,0.07409552484750748,0.10460788756608963
7,0.9892916679382324,0.036183953285217285,0.9892916679382324,0.08801589906215668,0.12419985979795456,0.001,0.9909999966621399,0.032428257167339325,0.9909999966621399,0.07532013952732086,0.10774840414524078
8,0.9902916550636292,0.03196118399500847,0.9902916550636292,0.08056727796792984,0.11252850294113159,0.001,0.9905833601951599,0.031301889568567276,0.9905833601951599,0.07846203446388245,0.10976392775774002
9,0.9924166798591614,0.023620054125785828,0.9924166798591614,0.06226513162255287,0.08588515967130661,0.0003,0.9925833344459534,0.026155054569244385,0.9925833344459534,0.06100989878177643,0.08716494590044022
10,0.9941458106040955,0.019324272871017456,0.9941458106040955,0.04931558668613434,0.0686398595571518,0.0003,0.9927499890327454,0.026125842705368996,0.9927499890327454,0.06007327884435654,0.08619912713766098
11,0.9945833086967468,0.018488146364688873,0.9945833086967468,0.04591561481356621,0.06440378725528717,0.0003,0.9925000071525574,0.02609652653336525,0.9925000071525574,0.06320255994796753,0.08929909020662308
12,0.9954166412353516,0.01616041362285614,0.9954166412353516,0.039172954857349396,0.05533335730433464,0.0003,0.9929166436195374,0.025003090500831604,0.9929166436195374,0.06022471562027931,0.08522779494524002
13,0.995312511920929,0.014732848852872849,0.995312511920929,0.040175434201955795,0.05490829795598984,0.0003,0.9929999709129333,0.0245182104408741,0.9929999709129333,0.05837555602192879,0.08289379626512527
14,0.9949166774749756,0.016117991879582405,0.9949166774749756,0.04293949529528618,0.059057481586933136,0.0003,0.9934999942779541,0.026116803288459778,0.9934999942779541,0.05457400158047676,0.08069080114364624
15,0.995312511920929,0.014619781635701656,0.995312511920929,0.039895035326480865,0.054514817893505096,0.0003,0.9926666617393494,0.02522328682243824,0.9926666617393494,0.06395014375448227,0.08917342126369476
16,0.995187520980835,0.014888923615217209,0.995187520980835,0.0413985513150692,0.0562875010073185,0.0003,0.9934166669845581,0.024866867810487747,0.9934166669845581,0.05695849657058716,0.08182535320520401
17,0.9960833191871643,0.01303460355848074,0.9960833191871643,0.033956483006477356,0.046991072595119476,9e-05,0.9934999942779541,0.023965418338775635,0.9934999942779541,0.056138310581445694,0.08010371029376984
18,0.9966250061988831,0.011593908071517944,0.9966250061988831,0.028967417776584625,0.04056131839752197,9e-05,0.9935833215713501,0.02340511605143547,0.9935833215713501,0.055645737797021866,0.07905082404613495
19,0.9966250061988831,0.010402066633105278,0.9966250061988831,0.028817003592848778,0.03921905905008316,9e-05,0.9939166903495789,0.023287193849682808,0.9939166903495789,0.051245346665382385,0.07453252375125885
20,0.9972083568572998,0.009544555097818375,0.9972083568572998,0.024603281170129776,0.034147825092077255,9e-05,0.9936666488647461,0.024241862818598747,0.9936666488647461,0.054872915148735046,0.07911476492881775
21,0.9970208406448364,0.00991462916135788,0.9970208406448364,0.02647019922733307,0.03638485074043274,9e-05,0.9941666722297668,0.022798575460910797,0.9941666722297668,0.04940221086144447,0.07220079749822617
22,0.997041642665863,0.00978262722492218,0.997041642665863,0.025642994791269302,0.03542559593915939,9e-05,0.9940000176429749,0.02405712567269802,0.9940000176429749,0.05178849399089813,0.07584559917449951
23,0.9973541498184204,0.008617780171334743,0.9973541498184204,0.02328876405954361,0.03190654516220093,9e-05,0.9942499995231628,0.02283627539873123,0.9942499995231628,0.04918899014592171,0.07202525436878204
24,0.9974374771118164,0.008853216655552387,0.9974374771118164,0.023293184116482735,0.0321463942527771,9e-05,0.9934166669845581,0.024726521223783493,0.9934166669845581,0.05644429475069046,0.08117081969976425
25,0.9972083568572998,0.008737006224691868,0.9972083568572998,0.024469612166285515,0.033206600695848465,9e-05,0.9941666722297668,0.02406594529747963,0.9941666722297668,0.0504504032433033,0.07451634854078293
26,0.9971874952316284,0.008461015298962593,0.9971874952316284,0.024704402312636375,0.03316542133688927,2.7e-05,0.9943333268165588,0.022708449512720108,0.9943333268165588,0.04950893670320511,0.07221740484237671
27,0.9979791641235352,0.006964878179132938,0.9979791641235352,0.018370293080806732,0.025335153564810753,2.7e-05,0.9945833086967468,0.022885877639055252,0.9945833086967468,0.047245778143405914,0.07013162970542908
28,0.9978333115577698,0.007012912072241306,0.9978333115577698,0.019892660900950432,0.02690558321774006,2.7e-05,0.9942499995231628,0.02313394472002983,0.9942499995231628,0.05015647038817406,0.07329041510820389
29,0.9977916479110718,0.0070704808458685875,0.9977916479110718,0.019471116364002228,0.02654159627854824,2.7e-05,0.9938333630561829,0.02360936440527439,0.9938333630561829,0.05418477952480316,0.0777941420674324
30,0.9977499842643738,0.00788487121462822,0.9977499842643738,0.019954506307840347,0.027839355170726776,8.1e-06,0.9941666722297668,0.0233711339533329,0.9941666722297668,0.05135663226246834,0.07472777366638184
31,0.9982083439826965,0.006505974568426609,0.9982083439826965,0.01631779782474041,0.022823764011263847,8.1e-06,0.9940000176429749,0.023336445912718773,0.9940000176429749,0.052792858332395554,0.07612930983304977
32,0.9979583621025085,0.006825474556535482,0.9979583621025085,0.018731795251369476,0.025557266548275948,2.43e-06,0.9941666722297668,0.023302661255002022,0.9941666722297668,0.051915425807237625,0.0752180814743042
